"Timestamp"	"Коротко про те, ким ви працюєте:"	"category"	"probability"	"speciality_auto_detected"	"Чи вважаєте Ви COVID-19 небезпечним респіраторним захворюванням?"	"Чи довіряєте Ви уряду щодо кампанії вакцинації від COVID-19?"	"Чи довіряєте Ви сфері медицини, окрім кампанії вакцинації?"	"В цілому, я довіряю новинам:"	"Я вважаю, що усунення від роботи невакцинованих співробітників погіршує ситуацію:"	"Як багато Ваших знайомих вакциновано?"	"Як ваше рішення щодо вакцинації позначилося на ставленні людей до вас?"	"Як епідемія вплинула на ваших знайомих?"	"Ви готові придбати або вже придбали підроблений сертифікат COVID-19:"	"Крім питання персональної довіри до вакцин, в цілому ви ставитеся до вакцинації від COVID-19:"	"Ви вакциновані:"	"Незалежно від позиції по вакцинації, ви відстоюєте її:"	"Ви часто приєднуєтеся до громадських мітингів на важливі для вас теми:"	"У чому, на вашу думку, основна причина відмови людей від вакцинації?"	"Ваш вік"	"basic_classification"	"modified_classification"	"Недовіра"	"Конспірологічні"	"Соціальні"	"Дезінформація"
"12/7/2021 22:32:52"	"Не"	"10-10"	0.8	"ні"	"Так, вважаю"	"Ні, не довіряю"	"Так, довіряю"	"Ні"	"Так"	"Близько трьох чвертей знайомих"	"Далося взнаки негативно, відчуваю засудження"	"Серед знайомих є люди з ускладненнями"	"Ні"	"Негативно"	"Ні"	"Так"	"Ні"	"Вранье"		"Незайняті (пенсіонери, безробітні, декрет)"	"Спеціальність невідома"	1			
"12/7/2021 22:38:41"	"Дежурный зала и тренер по футболу. "	"9-9"			"Ні, не вірю в його існування"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Всі або майже всі"	"Далося взнаки негативно, відчуваю засудження"	"Важко відповісти"	"Ні"	"Негативно"	"Ні"	"Так"	"Так"	"Медичний експеримент "		"Найпростіші професії"	"Сфера обслуговування"		1		
"12/7/2021 22:41:24"	"Держслужбовець"	"5-4"	1	"держслужбовець"	"Ні, не вірю в його існування"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Близько половини знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Так"	"Так"	"Це не вакцинація, це медичний експеримент. А, точніше,це-геноцид народу."		"Працівники сфери торгівлі та послуг"	"Спеціальності сфери послуг"		1		
"12/7/2021 22:47:14"	"прибиральник службових приміщень"	"9-9"	1	"прибиральник"	"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Так"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Так"	"Ні"	"Примусовий медичний експеримент над людьми"		"Найпростіші професії"	"Сфера обслуговування"		1	1	
"12/7/2021 22:57:10"	"в декретній відпустці"	"10-10"	0.769230769230769	"декретна відпустка"	"Ні, не вважаю"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Серед знайомих є люди з ускладненнями"	"Ні"	"Негативно"	"Ні"	"Так"	"Так"	"примус, побічні наслідки після вакцинації. Коронавірус, якщо і існує то не такий небезпечний як його описують ЗМІ. Вже майже не рік дивлюся новини, остопранціла брехня про ковід."		"Незайняті (пенсіонери, безробітні, декрет)"	"Спеціальність невідома"	1		1	1
"12/7/2021 22:58:14"	"Блогер"	"5-8"			"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Так"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Так"	"Ні"	"Примус"		"Працівники сфери торгівлі та послуг"	"Творчі та гуманітарні спеціальності"			1	
"12/7/2021 22:59:24"	"Инженер"	"2-1"	1	"інженер"	"Ні, не вважаю"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Так"	"Так"	"Экспериментальный препарат даёт побочки, не защищает от заражения вирусом и является вообще бесполезным так как эта группа вирусов все время мутируют!"		"Професіонали"	"Спеціальності науково-технічної спрямованості"		1		
"12/7/2021 23:02:20"	"В держаній установі"	"3-10"			"Ні, не вважаю"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Близько чверті знайомих"	"Далося взнаки негативно, відчуваю засудження"	"Серед знайомих є загиблі"	"Ні"	"Негативно"	"Ні"	"Так"	"Ні"	"Недовіра до влади, експериментальні препарати з побічними діями"		"Фахівці"	"Спеціальність невідома"	1	1		
"12/7/2021 23:09:55"	"Аналитик"	"2-1"	1	"аналітик"	"Так, вважаю"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Так"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Так"	"Ні"	"Принуждение к ней"		"Професіонали"	"Спеціальності науково-технічної спрямованості"			1	
"12/7/2021 23:10:28"	"Фельдшер"	"3-2"	1	"фельдшер"	"Ні, не вважаю"	"Ні, не довіряю"	"Так, довіряю"	"Ні"	"Так"	"Близько чверті знайомих"	"Далося взнаки негативно, відчуваю засудження"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Так"	"Ні"	"Тому що це все брехня."		"Фахівці"	"Спеціальності сфери охорони здоров’я"	1			
"12/7/2021 23:11:01"	"Дизайнер"	"2-8"	1	"дизайнер"	"Ні, не вважаю"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Важко відповісти"	"Ніхто"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Так"	"Так"	"Недовіра до держави, корупція, недовіра до ВОЗ, тиск держави. "		"Професіонали"	"Творчі та гуманітарні спеціальності"	1		1	
"12/7/2021 23:15:31"	"Домогосподарка"	"10-10"	1	"домогосподарка"	"Так, вважаю"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Важко відповісти"	"Близько половини знайомих"	"Ніяк не позначилося"	"Серед знайомих є загиблі"	"Ні"	"Негативно"	"Ні"	"Ні"	"Ні"	"Вакцинація від ковіду це ЕВТАНАЗІЯ"		"Незайняті (пенсіонери, безробітні, декрет)"	"Спеціальність невідома"		1		
"12/7/2021 23:18:17"	"Керівник гуртків ""Основи робототехніки на платформі Arduino"""	"2-1"			"Ні, не вважаю"	"Ні, не довіряю"	"Так, довіряю"	"Ні"	"Так"	"Близько половини знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Так"	"Негативно"	"Ні"	"Ні"	"Так"	"Їх по меншій мірі дві. Перша: недовіра до влади. Друга: не бажання бути піддослідними тваринами в медичних експериментах. "		"Професіонали"	"Спеціальності науково-технічної спрямованості"	1	1		
"12/7/2021 23:20:25"	"Фрилансер"	"3-10"	1	"фрілансер"	"Ні, не вважаю"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Ніхто"	"Далося взнаки позитивно, відчуваю підтримку"	"Серед знайомих є люди з ускладненнями"	"Ні"	"Негативно"	"Ні"	"Так"	"Ні"	"Осложнения и бесполезность "		"Фахівці"	"Спеціальність невідома"				1
"12/7/2021 23:23:28"	"Директор"	"1-7"	1	"директор"	"Ні, не вважаю"	"Ні, не довіряю"	"Так, довіряю"	"Ні"	"Ні"	"Ніхто"	"Далося взнаки позитивно, відчуваю підтримку"	"Серед знайомих ніхто не захворів"	"Ні"	"Негативно"	"Ні"	"Так"	"Так"	"Я не довіряю вакцинам зовсім"		"ЗВДСКМ(У)"	"Керівні спеціальності"	1			
"12/7/2021 23:24:25"	"Не працюю"	"10-10"	1	"не працюю"	"Ні, не вірю в його існування"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Так"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Серед знайомих є люди з ускладненнями"	"Ні"	"Негативно"	"Ні"	"Так"	"Так"	"Примусовість, що схожа на фашизм. Заборона людині працювати, а отже жити."		"Незайняті (пенсіонери, безробітні, декрет)"	"Спеціальність невідома"			1	
"12/7/2021 23:26:43"	"Экономист"	"3-3"	1	"економіст"	"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Так"	"Близько чверті знайомих"	"Далося взнаки позитивно, відчуваю підтримку"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Так"	"Ні"	"Экспериментальний препарат-вакцина, у якого ще триває стадія перевірки. Відсутність юридичної відповідальності у  виробника вакцин. "		"Фахівці"	"Спеціальності сфера фінансів"		1		
"12/7/2021 23:28:42"	"держслужба"	"5-4"	0.75	"держслужбовець"	"Ні, не вважаю"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Ніхто"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Ні"	"Ні"	"в тому, що це не вакцинація, а клінічні випробування"		"Працівники сфери торгівлі та послуг"	"Спеціальності сфери послуг"		1		1
