Timestamp	Коротко про те, ким ви працюєте:	Чи вважаєте Ви COVID-19 небезпечним респіраторним захворюванням?	Чи довіряєте Ви уряду щодо кампанії вакцинації від COVID-19?	Чи довіряєте Ви сфері медицини, окрім кампанії вакцинації?	В цілому, я довіряю новинам:	Я вважаю, що усунення від роботи невакцинованих співробітників погіршує ситуацію:	Як багато Ваших знайомих вакциновано?	Як ваше рішення щодо вакцинації позначилося на ставленні людей до вас?	Як епідемія вплинула на ваших знайомих?	Ви готові придбати або вже придбали підроблений сертифікат COVID-19:	Крім питання персональної довіри до вакцин, в цілому ви ставитеся до вакцинації від COVID-19:	Ви вакциновані:	Незалежно від позиції по вакцинації, ви відстоюєте її:	Ви часто приєднуєтеся до громадських мітингів на важливі для вас теми:	У чому, на вашу думку, основна причина відмови людей від вакцинації?	Ваш вік
12/7/2021 22:32:52	Не	Так, вважаю	Ні, не довіряю	Так, довіряю	Ні	Так	Близько трьох чвертей знайомих	Далося взнаки негативно, відчуваю засудження	Серед знайомих є люди з ускладненнями	Ні	Негативно	Ні	Так	Ні	Вранье	
12/7/2021 22:36:05	Вчитель	Ні, не вважаю	Ні, не довіряю	Скоріше ні	Ні	Так	Близько половини знайомих	Далося взнаки позитивно, відчуваю підтримку	Серед знайомих є люди з ускладненнями	Так	Негативно	Ні	Так	Ні	Політика, в жодному разі не медичне питання, вакцинація це негативний вплив на здоров'я людей	
12/7/2021 22:38:28	Юрист	Ні, не вірю в його існування	Ні, не довіряю	Скоріше ні	Ні	Так	Близько половини знайомих	Ніяк не позначилося	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Ні	Так	Так	Вакцинація не має жодної користі	
12/7/2021 22:38:35	Аналітик	Ні, не вважаю	Ні, не довіряю	Так, довіряю	Ні	Так	Близько чверті знайомих	Ніяк не позначилося	Серед знайомих ніхто не захворів	Ні	Негативно	Ні	Так	Так	Препарати неефективні і небезпечні.  	
12/7/2021 22:38:42	Дежурный зала и тренер по футболу. 	Ні, не вірю в його існування	Ні, не довіряю	Ні, не довіряю	Ні	Так	Всі або майже всі	Далося взнаки негативно, відчуваю засудження	Важко відповісти	Ні	Негативно	Ні	Так	Так	Медичний експеримент 	
12/7/2021 22:41:24	Держслужбовець	Ні, не вірю в його існування	Ні, не довіряю	Ні, не довіряю	Ні	Так	Близько половини знайомих	Ніяк не позначилося	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Ні	Так	Так	Це не вакцинація, це медичний експеримент. А, точніше,це-геноцид народу.	
12/7/2021 22:41:59	Не прицюю, не вакцинирована	Ні, не вважаю	Ні, не довіряю	Скоріше так	Ні	Так	Ніхто	Ніяк не позначилося	Мої знайомі перехворіли без особливих ускладнень	Так	Негативно	Ні	Так	Так	Фашизм	
12/7/2021 22:43:47	Програміст 	Так, вважаю	Скоріше так	Скоріше так	Так	Ні	Близько трьох чвертей знайомих	Ніяк не позначилося	Серед знайомих є загиблі	Ні	Позитивно	Так	Так	Ні	Страх	
12/7/2021 22:47:15	прибиральник службових приміщень	Ні, не вважаю	Ні, не довіряю	Скоріше ні	Ні	Так	Близько чверті знайомих	Ніяк не позначилося	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Ні	Так	Ні	Примусовий медичний експеримент над людьми	
12/7/2021 22:48:42	Програміст	Так, вважаю	Так, довіряю	Так, довіряю	Ні	Важко відповісти	Всі або майже всі	Ніяк не позначилося	Важко відповісти	Ні	Позитивно	Так	Так	Ні	-	
